SKU,Date,Month,Holt-Winters (Additive),Holt-Winters (Multiplicative),Linear,Prophet,ARIMA
10CH,2025-08-01,Aug 2025,32,35,34,21,33
10CH,2025-09-01,Sep 2025,10,4,34,27,33
10CH,2025-10-01,Oct 2025,15,10,34,21,34
10CH,2025-11-01,Nov 2025,23,18,34,18,34
10CH,2025-12-01,Dec 2025,19,13,35,42,35
10CH,2026-01-01,Jan 2026,66,61,35,54,36
10CH,2026-02-01,Feb 2026,69,59,35,49,37
10CH,2026-03-01,Mar 2026,65,52,35,35,37
10CH,2026-04-01,Apr 2026,37,25,36,43,38
10CH,2026-05-01,May 2026,36,22,36,37,39
10CH,2026-06-01,Jun 2026,31,17,36,37,40
10CH,2026-07-01,Jul 2026,45,26,36,34,40
