SKU,Category,leadTimeDays,sellingPrice,unitCost,servicelevel,
10CH,Car Hauler,28,"$4,526.57 ","$3,165.55 ",0.85,"$1,361.02 "
10DM,Car Hauler,28,5475.509651,4155.533309,0.85,
60EC,Car Hauler,28,2879.036216,1998.483593,0.85,
70CH,Car Hauler,28,3594.551848,2443.424931,0.85,
70DM,Car Hauler,28,4744.894306,3253.088851,0.85,
14PH,"Deck-Over, Tag-Along",28,9129.136971,6194.678776,0.85,
16PH,"Deck-Over, Tag-Along",28,11714.01667,7401.913333,0.85,
20PH,"Deck-Over, Tag-Along",28,11050,7336.41,0.85,
22PH,"Deck-Over, Tag-Along",28,14382.43185,8744.565489,0.85,
25PH,"Deck-Over, Tag-Along",28,17052.28637,9576.600163,0.85,
3XPH,"Deck-Over, Tag-Along",28,23535.69263,14131.77947,0.85,
4XPH,"Deck-Over, Tag-Along",28,28895.6028,16364.186,0.85,
5XPH,"Deck-Over, Tag-Along",28,34166.44115,21209.57059,0.85,
10LX,Dump,28,7973.771036,5476.872746,0.85,
10SR,Dump,28,8567.698657,5560.35234,0.85,
12SR,Dump,28,8715.165041,5488.444561,0.85,
14GT,Dump,28,10868.60221,7535.227994,0.85,
14GX,Dump,28,10848.42417,7253.454725,0.85,
14LD,Dump,28,7854.878036,6426.667281,0.85,
14LP,Dump,28,9558.770825,6791.345811,0.85,
14LX,Dump,28,7667.330163,5859.908226,0.85,
14OD,Dump,28,11152.2079,7649.807531,0.85,
14RB,Dump,28,10451.6892,6066.9975,0.85,
14RD,Dump,28,11519.07917,6698.025054,0.85,
14TD,Dump,28,9918.065228,6538.120756,0.85,
14XD,Dump,28,10241.50877,7137.6871,0.85,
16GX,Dump,28,13735.83453,8614.271838,0.85,
16LP,Dump,28,12675.21489,7688.882894,0.85,
16RB,Dump,28,12367.56854,6895.7784,0.85,
16RD,Dump,28,14550.08293,8314.227593,0.85,
16TD,Dump,28,13838.00903,6060.092903,0.85,
20GX,Dump,28,15925.66426,10956.07387,0.85,
20LP,Dump,28,14583.75631,10421.15523,0.85,
25DU,Dump,28,20631.81706,14525.8041,0.85,
50SR,Dump,28,5070.394817,3012.716754,0.85,
70SR,Dump,28,5683.029126,3277.312669,0.85,
90SR,Dump,28,7471.700163,4835.715694,0.85,
10DF,Equipment Hauler,28,6866.043871,4286.849677,0.85,
10ET,Equipment Hauler,28,5098.102966,3690.442627,0.85,
10OA,Equipment Hauler,28,6860.032614,4387.614773,0.85,
12PT,Equipment Hauler,28,6150,3715.05,0.85,
14CC,Equipment Hauler,28,3585,2585.93,0.85,
14DF,Equipment Hauler,28,7508.136835,4827.106962,0.85,
14EB,Equipment Hauler,28,4930.322257,3366.187767,0.85,
14EE,Equipment Hauler,28,5269.010809,3641.06069,0.85,
14EH,Equipment Hauler,28,6568.805978,4651.514572,0.85,
14ET,Equipment Hauler,28,6034.820167,4191.355667,0.85,
14OA,Equipment Hauler,28,7346.610249,4688.731055,0.85,
14OE,Equipment Hauler,28,5781.667361,3930.134,0.85,
16EH,Equipment Hauler,28,9090.129562,5410.014458,0.85,
16ET,Equipment Hauler,28,8656.50416,5557.831395,0.85,
16OA,Equipment Hauler,28,9427.700771,4815.157465,0.85,
21EH,Equipment Hauler,28,9879.7,0,0.85,
14GN,Flatbed Gooseneck,28,10152.77003,7105.692119,0.85,
16GN,Flatbed Gooseneck,28,12443.32325,8756.45338,0.85,
20GN,Flatbed Gooseneck,28,8438.322,7371.475,0.85,
22GN,Flatbed Gooseneck,28,14903.08348,10339.54301,0.85,
25GN,Flatbed Gooseneck,28,17399.63281,11489.81128,0.85,
3XGN,Flatbed Gooseneck,28,24946.39246,14972.81495,0.85,
13BN,Rolloff Bin,28,4036.407633,3156.347618,0.85,
30ES,Single Axle,28,1486.641515,1064.460657,0.85,
30SA,Single Axle,28,1778.464601,1131.668318,0.85,
35ES,Single Axle,28,1764.112838,1210.405385,0.85,
35SA,Single Axle,28,2056.432263,1312.205868,0.85,
35SX,Single Axle,28,2062.265636,1509.799091,0.85,
35UT,Single Axle,28,2869.235385,1805.060732,0.85,
50SA,Single Axle,28,3349.755806,2257.857419,0.85,
10PI,Tandem Axle,28,5073.773653,3102.521326,0.85,
14GP,Tandem Axle,28,8431.231071,4786.869286,0.85,
14PI,Tandem Axle,28,5641.008132,3519.757218,0.85,
16PI,Tandem Axle,28,7935.4,4413.306,0.85,
45ES,Tandem Axle,28,2496.246154,1627.687538,0.85,
60ES,Tandem Axle,28,2750.031592,1925.440896,0.85,
60PI,Tandem Axle,28,2958.375305,1928.010639,0.85,
70PI,Tandem Axle,28,3403.956243,2340.422832,0.85,
70SP,Tandem Axle,28,3000,1988.134444,0.85,
14FT,Tilt Deck,28,7344.416986,4594.381352,0.85,
14OT,Tilt Deck,28,9854.847842,7099.252506,0.85,
14TL,Tilt Deck,28,7582.451499,4895.923941,0.85,
16OT,Tilt Deck,28,11323.23558,7325.714421,0.85,
16TL,Tilt Deck,28,10756.39607,6366.515295,0.85,
70ST,Tilt Deck,28,4576.163544,3078.443127,0.85,
10LR,Vanguard/Landscape,28,7325.600513,4105.765641,0.85,
10TV,Vanguard/Landscape,28,6796.268979,3605.101029,0.85,
30SV,Vanguard/Landscape,28,2610.181992,1405.702381,0.85,
35LS,Vanguard/Landscape,28,3423.541622,2397.862432,0.85,
35SV,Vanguard/Landscape,28,2807.420923,1580.715514,0.85,
70LR,Vanguard/Landscape,28,4957.294583,3321.863646,0.85,
70TV,Vanguard/Landscape,28,4344.195032,2650.963076,0.85,
